Segment	Country	 Product 	 Discount Band 	COGS	Units Sold	Sale Price	Discounts	Date
Government	Canada	 Carretera 	 None 	16185.0	1618.5	20.0	0.0	01/01/2014
Government	Germany	 Carretera 	 None 	13210.0	1321.0	20.0	0.0	01/01/2014
Midmarket	France	 Carretera 	 None 	21780.0	2178.0	15.0	0.0	01/06/2014
Midmarket	Germany	 Carretera 	 None 	8880.0	888.0	15.0	0.0	01/06/2014
Midmarket	Mexico	 Carretera 	 None 	24700.0	2470.0	15.0	0.0	01/06/2014
Government	Germany	 Carretera 	 None 	393380.0	1513.0	350.0	0.0	01/12/2014
Midmarket	Germany	 Montana 	 None 	9210.0	921.0	15.0	0.0	01/03/2014
Channel Partners	Canada	 Montana 	 None 	7554.0	2518.0	12.0	0.0	01/06/2014
Government	France	 Montana 	 None 	18990.0	1899.0	20.0	0.0	01/06/2014
Channel Partners	Germany	 Montana 	 None 	4635.0	1545.0	12.0	0.0	01/06/2014
Midmarket	Mexico	 Montana 	 None 	24700.0	2470.0	15.0	0.0	01/06/2014
Enterprise	Canada	 Montana 	 None 	319860.0	2665.5	125.0	0.0	01/07/2014
Small Business	Mexico	 Montana 	 None 	239500.0	958.0	300.0	0.0	01/08/2014
Government	Germany	 Montana 	 None 	10730.0	2146.0	7.0	0.0	01/09/2014
Enterprise	Canada	 Montana 	 None 	41400.0	345.0	125.0	0.0	01/10/2013
Midmarket	United States of America	 Montana 	 None 	6150.0	615.0	15.0	0.0	01/12/2014
Government	Canada	 Paseo 	 None 	2920.0	292.0	20.0	0.0	01/02/2014
Midmarket	Mexico	 Paseo 	 None 	9740.0	974.0	15.0	0.0	01/02/2014
Channel Partners	Canada	 Paseo 	 None 	7554.0	2518.0	12.0	0.0	01/06/2014
Government	Germany	 Paseo 	 None 	261560.0	1006.0	350.0	0.0	01/06/2014
Channel Partners	Germany	 Paseo 	 None 	1101.0	367.0	12.0	0.0	01/07/2014
Government	Mexico	 Paseo 	 None 	4415.0	883.0	7.0	0.0	01/08/2014
Midmarket	France	 Paseo 	 None 	5490.0	549.0	15.0	0.0	01/09/2013
Small Business	Mexico	 Paseo 	 None 	197000.0	788.0	300.0	0.0	01/09/2013
Midmarket	Mexico	 Paseo 	 None 	24720.0	2472.0	15.0	0.0	01/09/2014
Government	United States of America	 Paseo 	 None 	5715.0	1143.0	7.0	0.0	01/10/2014
Government	Canada	 Paseo 	 None 	448500.0	1725.0	350.0	0.0	01/11/2013
Channel Partners	United States of America	 Paseo 	 None 	2736.0	912.0	12.0	0.0	01/11/2013
Midmarket	Canada	 Paseo 	 None 	21520.0	2152.0	15.0	0.0	01/12/2013
Government	Canada	 Paseo 	 None 	18170.0	1817.0	20.0	0.0	01/12/2014
Government	Germany	 Paseo 	 None 	393380.0	1513.0	350.0	0.0	01/12/2014
Government	Mexico	 Velo 	 None 	7465.0	1493.0	7.0	0.0	01/01/2014
Enterprise	France	 Velo 	 None 	216480.0	1804.0	125.0	0.0	01/02/2014
Channel Partners	Germany	 Velo 	 None 	6483.0	2161.0	12.0	0.0	01/03/2014
Government	Germany	 Velo 	 None 	261560.0	1006.0	350.0	0.0	01/06/2014
Channel Partners	Germany	 Velo 	 None 	4635.0	1545.0	12.0	0.0	01/06/2014
Enterprise	United States of America	 Velo 	 None 	338520.0	2821.0	125.0	0.0	01/08/2014
Enterprise	Canada	 Velo 	 None 	41400.0	345.0	125.0	0.0	01/10/2013
Small Business	Canada	 VTT 	 None 	500250.0	2001.0	300.0	0.0	01/02/2014
Channel Partners	Germany	 VTT 	 None 	8514.0	2838.0	12.0	0.0	01/04/2014
Midmarket	France	 VTT 	 None 	21780.0	2178.0	15.0	0.0	01/06/2014
Midmarket	Germany	 VTT 	 None 	8880.0	888.0	15.0	0.0	01/06/2014
Government	France	 VTT 	 None 	397020.0	1527.0	350.0	0.0	01/09/2013
Small Business	France	 VTT 	 None 	537750.0	2151.0	300.0	0.0	01/09/2014
Government	Canada	 VTT 	 None 	18170.0	1817.0	20.0	0.0	01/12/2014
Government	France	 Amarilla 	 None 	715000.0	2750.0	350.0	0.0	01/02/2014
Channel Partners	United States of America	 Amarilla 	 None 	5859.0	1953.0	12.0	0.0	01/04/2014
Enterprise	Germany	 Amarilla 	 None 	506340.0	4219.5	125.0	0.0	01/04/2014
Government	France	 Amarilla 	 None 	18990.0	1899.0	20.0	0.0	01/06/2014
Government	Germany	 Amarilla 	 None 	8430.0	1686.0	7.0	0.0	01/07/2014
Channel Partners	United States of America	 Amarilla 	 None 	6423.0	2141.0	12.0	0.0	01/08/2014
Government	United States of America	 Amarilla 	 None 	5715.0	1143.0	7.0	0.0	01/10/2014
Midmarket	United States of America	 Amarilla 	 None 	6150.0	615.0	15.0	0.0	01/12/2014
Government	France	 Paseo 	 Low 	19725.0	3945.0	7.0	276.2	01/01/2014
Midmarket	France	 Paseo 	 Low 	22960.0	2296.0	15.0	344.4	01/02/2014
Government	France	 Paseo 	 Low 	5150.0	1030.0	7.0	72.1	01/05/2014
Government	France	 Velo 	 Low 	3195.0	639.0	7.0	44.7	01/11/2014
Government	Canada	 VTT 	 Low 	6630.0	1326.0	7.0	92.8	01/03/2014
Channel Partners	United States of America	 Carretera 	 Low 	5574.0	1858.0	12.0	223.0	01/02/2014
Government	Mexico	 Carretera 	 Low 	314600.0	1210.0	350.0	4235.0	01/03/2014
Government	United States of America	 Carretera 	 Low 	12645.0	2529.0	7.0	177.0	01/07/2014
Channel Partners	Canada	 Carretera 	 Low 	4335.0	1445.0	12.0	173.4	01/09/2014
Enterprise	United States of America	 Carretera 	 Low 	39600.0	330.0	125.0	412.5	01/09/2013
Channel Partners	France	 Carretera 	 Low 	8013.0	2671.0	12.0	320.5	01/09/2014
Channel Partners	Germany	 Carretera 	 Low 	2298.0	766.0	12.0	91.9	01/10/2013
Small Business	Mexico	 Carretera 	 Low 	123500.0	494.0	300.0	1482.0	01/10/2013
Government	Mexico	 Carretera 	 Low 	363220.0	1397.0	350.0	4889.5	01/10/2014
Government	France	 Carretera 	 Low 	560300.0	2155.0	350.0	7542.5	01/12/2014
Midmarket	Mexico	 Montana 	 Low 	22140.0	2214.0	15.0	332.1	01/03/2014
Small Business	United States of America	 Montana 	 Low 	575250.0	2301.0	300.0	6903.0	01/04/2014
Government	France	 Montana 	 Low 	13755.0	1375.5	20.0	275.1	01/07/2014
Government	Canada	 Montana 	 Low 	9150.0	1830.0	7.0	128.1	01/08/2014
Small Business	United States of America	 Montana 	 Low 	624500.0	2498.0	300.0	7494.0	01/09/2013
Enterprise	United States of America	 Montana 	 Low 	79560.0	663.0	125.0	828.8	01/10/2013
Midmarket	United States of America	 Paseo 	 Low 	15140.0	1514.0	15.0	227.1	01/02/2014
Government	United States of America	 Paseo 	 Low 	22462.5	4492.5	7.0	314.5	01/04/2014
Enterprise	United States of America	 Paseo 	 Low 	87240.0	727.0	125.0	908.8	01/06/2014
Enterprise	France	 Paseo 	 Low 	94440.0	787.0	125.0	983.8	01/06/2014
Enterprise	Mexico	 Paseo 	 Low 	218760.0	1823.0	125.0	2278.8	01/07/2014
Midmarket	Germany	 Paseo 	 Low 	7470.0	747.0	15.0	112.1	01/09/2014
Channel Partners	Germany	 Paseo 	 Low 	2298.0	766.0	12.0	91.9	01/10/2013
Small Business	United States of America	 Paseo 	 Low 	726250.0	2905.0	300.0	8715.0	01/11/2014
Government	France	 Paseo 	 Low 	560300.0	2155.0	350.0	7542.5	01/12/2014
Government	France	 Velo 	 Low 	38640.0	3864.0	20.0	772.8	01/04/2014
Government	Mexico	 Velo 	 Low 	1810.0	362.0	7.0	25.3	01/05/2014
Enterprise	Canada	 Velo 	 Low 	110760.0	923.0	125.0	1153.8	01/08/2014
Enterprise	United States of America	 Velo 	 Low 	79560.0	663.0	125.0	828.8	01/10/2013
Government	Canada	 Velo 	 Low 	10460.0	2092.0	7.0	146.4	01/11/2013
Government	Germany	 VTT 	 Low 	1315.0	263.0	7.0	18.4	01/03/2014
Government	Canada	 VTT 	 Low 	245310.0	943.5	350.0	3302.3	01/04/2014
Enterprise	United States of America	 VTT 	 Low 	87240.0	727.0	125.0	908.8	01/06/2014
Enterprise	France	 VTT 	 Low 	94440.0	787.0	125.0	983.8	01/06/2014
Small Business	Germany	 VTT 	 Low 	246500.0	986.0	300.0	2958.0	01/09/2014
Small Business	Mexico	 VTT 	 Low 	123500.0	494.0	300.0	1482.0	01/10/2013
Government	Mexico	 VTT 	 Low 	363220.0	1397.0	350.0	4889.5	01/10/2014
Enterprise	France	 VTT 	 Low 	209280.0	1744.0	125.0	2180.0	01/11/2014
Channel Partners	United States of America	 Amarilla 	 Low 	5967.0	1989.0	12.0	238.7	01/09/2013
Midmarket	France	 Amarilla 	 Low 	3210.0	321.0	15.0	48.2	01/11/2013
Enterprise	Canada	 Carretera 	 Low 	89100.0	742.5	125.0	1856.3	01/04/2014
Channel Partners	Canada	 Carretera 	 Low 	3885.0	1295.0	12.0	310.8	01/10/2014
Small Business	Germany	 Carretera 	 Low 	53500.0	214.0	300.0	1284.0	01/10/2013
Government	France	 Carretera 	 Low 	10725.0	2145.0	7.0	300.3	01/11/2013
Government	Canada	 Carretera 	 Low 	741520.0	2852.0	350.0	19964.0	01/12/2014
Channel Partners	United States of America	 Montana 	 Low 	3426.0	1142.0	12.0	274.1	01/06/2014
Government	United States of America	 Montana 	 Low 	15660.0	1566.0	20.0	626.4	01/10/2014
Channel Partners	Mexico	 Montana 	 Low 	2070.0	690.0	12.0	165.6	01/11/2014
Enterprise	Mexico	 Montana 	 Low 	199200.0	1660.0	125.0	4150.0	01/11/2013
Midmarket	Canada	 Paseo 	 Low 	23630.0	2363.0	15.0	708.9	01/02/2014
Small Business	France	 Paseo 	 Low 	229500.0	918.0	300.0	5508.0	01/05/2014
Small Business	Germany	 Paseo 	 Low 	432000.0	1728.0	300.0	10368.0	01/05/2014
Channel Partners	United States of America	 Paseo 	 Low 	3426.0	1142.0	12.0	274.1	01/06/2014
Enterprise	Mexico	 Paseo 	 Low 	79440.0	662.0	125.0	1655.0	01/06/2014
Channel Partners	Canada	 Paseo 	 Low 	3885.0	1295.0	12.0	310.8	01/10/2014
Enterprise	Germany	 Paseo 	 Low 	97080.0	809.0	125.0	2022.5	01/10/2013
Enterprise	Mexico	 Paseo 	 Low 	257400.0	2145.0	125.0	5362.5	01/10/2013
Channel Partners	France	 Paseo 	 Low 	5355.0	1785.0	12.0	428.4	01/11/2013
Small Business	Canada	 Paseo 	 Low 	479000.0	1916.0	300.0	11496.0	01/12/2014
Government	Canada	 Paseo 	 Low 	741520.0	2852.0	350.0	19964.0	01/12/2014
Enterprise	Canada	 Paseo 	 Low 	327480.0	2729.0	125.0	6822.5	01/12/2014
Midmarket	United States of America	 Paseo 	 Low 	19250.0	1925.0	15.0	577.5	01/12/2013
Government	United States of America	 Paseo 	 Low 	10065.0	2013.0	7.0	281.8	01/12/2013
Channel Partners	France	 Paseo 	 Low 	3165.0	1055.0	12.0	253.2	01/12/2014
Channel Partners	Mexico	 Paseo 	 Low 	3252.0	1084.0	12.0	260.2	01/12/2014
Government	United States of America	 Velo 	 Low 	15660.0	1566.0	20.0	626.4	01/10/2014
Government	Germany	 Velo 	 Low 	771160.0	2966.0	350.0	20762.0	01/10/2013
Government	Germany	 Velo 	 Low 	748020.0	2877.0	350.0	20139.0	01/10/2014
Enterprise	Germany	 Velo 	 Low 	97080.0	809.0	125.0	2022.5	01/10/2013
Enterprise	Mexico	 Velo 	 Low 	257400.0	2145.0	125.0	5362.5	01/10/2013
Channel Partners	France	 Velo 	 Low 	3165.0	1055.0	12.0	253.2	01/12/2014
Government	Mexico	 Velo 	 Low 	5440.0	544.0	20.0	217.6	01/12/2013
Channel Partners	Mexico	 Velo 	 Low 	3252.0	1084.0	12.0	260.2	01/12/2014
Enterprise	Mexico	 VTT 	 Low 	79440.0	662.0	125.0	1655.0	01/06/2014
Small Business	Germany	 VTT 	 Low 	53500.0	214.0	300.0	1284.0	01/10/2013
Government	Germany	 VTT 	 Low 	748020.0	2877.0	350.0	20139.0	01/10/2014
Enterprise	Canada	 VTT 	 Low 	327480.0	2729.0	125.0	6822.5	01/12/2014
Government	United States of America	 VTT 	 Low 	69160.0	266.0	350.0	1862.0	01/12/2013
Government	Mexico	 VTT 	 Low 	504400.0	1940.0	350.0	13580.0	01/12/2013
Small Business	Germany	 Amarilla 	 Low 	64750.0	259.0	300.0	1554.0	01/03/2014
Small Business	Mexico	 Amarilla 	 Low 	275250.0	1101.0	300.0	6606.0	01/03/2014
Enterprise	Germany	 Amarilla 	 Low 	273120.0	2276.0	125.0	5690.0	01/05/2014
Government	Germany	 Amarilla 	 Low 	771160.0	2966.0	350.0	20762.0	01/10/2013
Government	United States of America	 Amarilla 	 Low 	12360.0	1236.0	20.0	494.4	01/11/2014
